timeframe,fvg_ts,entry_ts,year,month,symbol,gap_low,gap_high,gap_width,entry_price,stop,risk,tp1,tp2,max_high,min_low,result,pnl_r
30m,2026-01-22T08:00:00.000000,2026-01-22T14:48:00.000000,2026,1,NQH6,25550.25,25583.0,32.75,25576.25,25545.25,31.0,25638.25,25700.25,26349.0,25365.25,stop,-1.0
30m,2026-01-23T11:30:00.000000,2026-01-23T11:59:00.000000,2026,1,NQH6,25574.75,25596.25,21.5,25606.75,25569.75,37.0,25680.75,25754.75,26349.0,25180.25,stop,-1.0
30m,2026-01-23T15:30:00.000000,2026-01-23T17:42:00.000000,2026,1,NQH6,25668.0,25745.0,77.0,25734.5,25663.0,71.5,25877.5,26020.5,26349.0,25180.25,stop,-1.0
30m,2026-01-23T15:00:00.000000,2026-01-26T01:05:00.000000,2026,1,NQH6,25612.25,25661.5,49.25,25638.75,25607.25,31.5,25701.75,25764.75,26349.0,25180.25,stop,-1.0
30m,2026-02-02T15:00:00.000000,2026-02-03T14:43:00.000000,2026,2,NQH6,25547.25,25733.0,185.75,25746.75,25542.25,204.5,26155.75,26564.75,25811.75,24239.75,stop,-1.0
30m,2026-02-18T15:00:00.000000,2026-02-18T19:36:00.000000,2026,2,NQH6,24848.25,24937.5,89.25,24937.75,24843.25,94.5,25126.75,25315.75,25494.75,24668.0,stop,-1.0
30m,2026-02-20T15:00:00.000000,2026-02-20T15:06:00.000000,2026,2,NQH6,24784.0,24858.25,74.25,24869.0,24779.0,90.0,25049.0,25229.0,25494.75,24477.0,stop,-1.0
30m,2026-03-11T10:30:00.000000,2026-03-11T11:28:00.000000,2026,3,NQH6,24948.0,24971.25,23.25,24972.25,24943.0,29.25,25030.75,25089.25,25210.5,23971.25,stop,-1.0
30m,2026-03-17T13:30:00.000000,2026-03-17T15:36:00.000000,2026,3,NQM6,24940.25,24964.0,23.75,24954.75,24935.25,19.5,24993.75,25032.75,25210.5,23574.0,tp2,4.0
30m,2026-03-23T11:30:00.000000,2026-03-23T11:59:00.000000,2026,3,NQM6,23925.75,24370.0,444.25,24390.0,23920.75,469.25,25328.5,26267.0,24690.0,22961.5,stop,-1.0
30m,2026-03-24T07:00:00.000000,2026-03-24T08:51:00.000000,2026,3,NQM6,24345.0,24371.25,26.25,24376.75,24340.0,36.75,24450.25,24523.75,24550.0,22961.5,stop,-1.0
30m,2026-03-31T01:00:00.000000,2026-03-31T01:10:00.000000,2026,3,NQM6,23083.25,23160.25,77.0,23172.25,23078.25,94.0,23360.25,23548.25,25280.0,23166.5,tp2,4.0
30m,2026-04-01T06:30:00.000000,2026-04-01T07:50:00.000000,2026,4,NQM6,24064.5,24112.75,48.25,24109.25,24059.5,49.75,24208.75,24308.25,25393.0,23666.0,stop,-1.0
30m,2026-04-07T22:00:00.000000,2026-04-07T22:33:00.000000,2026,4,NQM6,24416.0,24502.5,86.5,24647.5,24411.0,236.5,25120.5,25593.5,26884.75,24610.5,tp2,4.0
30m,2026-04-13T13:00:00.000000,2026-04-13T13:09:00.000000,2026,4,NQM6,25129.0,25156.5,27.5,25162.5,25124.0,38.5,25239.5,25316.5,27136.0,25158.75,tp2,4.0
30m,2026-04-14T14:00:00.000000,2026-04-14T14:04:00.000000,2026,4,NQM6,25682.25,25712.0,29.75,25721.0,25677.25,43.75,25808.5,25896.0,27363.75,25719.0,tp2,4.0
30m,2026-04-16T15:30:00.000000,2026-04-16T16:33:00.000000,2026,4,NQM6,26422.75,26452.25,29.5,26442.0,26417.75,24.25,26490.5,26539.0,27462.5,26355.0,stop,-1.0
30m,2026-04-17T12:30:00.000000,2026-04-17T12:45:00.000000,2026,4,NQM6,26568.25,26602.25,34.0,26626.75,26563.25,63.5,26753.75,26880.75,27542.5,26535.0,tp2,4.0
30m,2026-04-17T13:00:00.000000,2026-04-17T13:29:00.000000,2026,4,NQM6,26625.0,26684.0,59.0,26692.25,26620.0,72.25,26836.75,26981.25,27542.5,26535.0,stop,-1.0
30m,2026-04-24T11:30:00.000000,2026-04-24T11:58:00.000000,2026,4,NQM6,27192.75,27265.25,72.5,27277.25,27187.75,89.5,27456.25,27635.25,27965.75,27009.5,stop,-1.0
30m,2026-05-05T14:00:00.000000,2026-05-05T14:15:00.000000,2026,5,NQM6,28008.5,28031.75,23.25,28049.5,28003.5,46.0,28141.5,28233.5,28944.75,28033.0,tp2,4.0
30m,2026-05-05T22:30:00.000000,2026-05-06T00:21:00.000000,2026,5,NQM6,28238.5,28276.25,37.75,28271.25,28233.5,37.75,28346.75,28422.25,28944.75,28248.0,tp2,4.0
30m,2026-05-07T14:30:00.000000,2026-05-07T14:31:00.000000,2026,5,NQM6,28803.0,28860.25,57.25,28874.25,28798.0,76.25,29026.75,29179.25,28944.75,28541.0,stop,-1.0
4h,2026-01-09T16:00:00.000000,2026-01-12T00:39:00.000000,2026,1,NQH6,25767.25,25810.75,43.5,25789.25,25762.25,27.0,25843.25,25897.25,26045.5,25236.5,stop,-1.0
4h,2026-01-15T08:00:00.000000,2026-01-15T08:04:00.000000,2026,1,NQH6,25643.0,25673.75,30.75,25680.0,25638.0,42.0,25764.0,25848.0,25952.75,25025.0,tp2,4.0
4h,2026-02-02T12:00:00.000000,2026-02-03T17:13:00.000000,2026,2,NQH6,25376.0,25450.0,74.0,25423.5,25371.0,52.5,25528.5,25633.5,25514.25,24239.75,stop,-1.0
4h,2026-02-25T12:00:00.000000,2026-02-25T12:13:00.000000,2026,2,NQH6,25067.75,25105.0,37.25,25107.25,25062.75,44.5,25196.25,25285.25,25494.75,24352.0,tp2,4.0
4h,2026-03-02T16:00:00.000000,2026-03-02T16:28:00.000000,2026,3,NQH6,24729.0,24852.0,123.0,24862.75,24724.0,138.75,25140.25,25417.75,25250.0,24000.0,stop,-1.0
4h,2026-03-04T12:00:00.000000,2026-03-04T12:31:00.000000,2026,3,NQH6,24677.75,24720.5,42.75,24736.75,24672.75,64.0,24864.75,24992.75,25250.0,24000.0,tp2,4.0
4h,2026-03-09T16:00:00.000000,2026-03-09T17:43:00.000000,2026,3,NQH6,24495.75,24575.75,80.0,24577.5,24490.75,86.75,24751.0,24924.5,25217.5,24278.0,tp2,4.0
4h,2026-04-13T16:00:00.000000,2026-04-13T16:05:00.000000,2026,4,NQM6,25194.75,25282.5,87.75,25288.0,25189.75,98.25,25484.5,25681.0,27155.75,25287.25,tp2,4.0
4h,2026-04-15T16:00:00.000000,2026-04-15T16:56:00.000000,2026,4,NQM6,26048.0,26102.25,54.25,26120.25,26043.0,77.25,26274.75,26429.25,27462.5,26120.0,tp2,4.0
4h,2026-04-17T12:00:00.000000,2026-04-19T22:00:00.000000,2026,4,NQM6,26492.25,26561.5,69.25,26548.5,26487.25,61.25,26671.0,26793.5,27542.5,26540.0,tp2,4.0
4h,2026-04-30T00:00:00.000000,2026-04-30T02:31:00.000000,2026,4,NQM6,27340.25,27386.5,46.25,27410.75,27335.25,75.5,27561.75,27712.75,28944.75,27163.25,stop,-1.0
